BIN,order,family,genus,species,Rep1,Rep2,Rep3,Rep5,Rep4,Rep7,Rep8,Rep6,Reads,Reads(exclRep6),BIN species,Morpho species,Individuals,Common Species,Split BINs,Unique BINs,BINs,Replicates,log_Individuals,log_Reads
BOLD:AAJ2868,Lepidoptera,Nymphalidae,Acraea,Acraea issoria,0,0,0,0,26,0,0,0,26,26,Acraea issoria,Acraea issoria,19,x,,,1,1,2.944438979,3.258096538
BOLD:AAJ1582,Lepidoptera,Nymphalidae,Argyreus,Argyreus hyperbius,360,443,306,162,725,343,675,0,3014,3014,Argyreus hyperbius,Argyreus hyperbius,332,x,,,1,7,5.805134969,8.011023379
BOLD:AAJ9557,Lepidoptera,Nymphalidae,Athyma,Athyma asura,392,429,641,114,511,283,681,0,3051,3051,Athyma asura,Athyma asura,411,x,,,1,7,6.018593214,8.023224685
BOLD:AAJ9556,Lepidoptera,Nymphalidae,Athyma,Athyma cama,31,55,30,19,70,57,83,0,345,345,Athyma cama,Athyma cama,282,x,,,1,7,5.641907071,5.843544417
BOLD:ADL1909,Lepidoptera,Nymphalidae,Athyma,Athyma orientalis,167,355,166,98,326,318,307,0,1737,1737,Athyma orientalis,Athyma orientalis,277,x,,,1,7,5.624017506,7.459914766
BOLD:ACA1475,Lepidoptera,Nymphalidae,Athyma,Athyma selenophora,0,0,0,0,10,0,0,0,10,10,Athyma selenophora,Athyma selenophora,16,x,,,1,1,2.772588722,2.302585093
BOLD:ADL2274,Lepidoptera,Papilionidae,Atrophaneura,Atrophaneura aidoneus,244,298,534,121,577,188,324,0,2286,2286,Atrophaneura aidoneus,Atrophaneura aidoneus,77,x,,,1,7,4.343805422,7.734558844
BOLD:ADL0800,Lepidoptera,Hesperiidae,Burara,Burara vasutana,0,0,25,0,0,0,0,0,25,25,Burara vasutana,Burara vasutana,13,x,,,1,1,2.564949357,3.218875825
BOLD:ADL2497,Lepidoptera,Papilionidae,Byasa,Byasa crassipes,144,29,187,0,108,158,144,0,770,770,Byasa crassipes,Byasa crassipes,69,x,,,1,6,4.234106505,6.646390515
BOLD:AAJ8738,Lepidoptera,Papilionidae,Byasa,Byasa polyeuctes,420,831,850,165,1147,468,1281,0,5162,5162,Byasa polyeuctes,Byasa polyeuctes,291,x,,,1,7,5.673323267,8.54907938
BOLD:ACH3444,Lepidoptera,Nymphalidae,Calinaga,Calinaga sudassana,832,1174,1010,299,1747,828,1431,0,7321,7321,Calinaga sudassana,,,,,x,1,7,,8.89850221
BOLD:AAK1950,Lepidoptera,Nymphalidae,Callerebia,Callerebia polyphemus,0,52,80,0,0,53,85,0,270,270,Callerebia polyphemus,,,,,x,1,4,,5.598421959
BOLD:ACQ2590,Lepidoptera,Nymphalidae,Cethosia,Cethosia biblis,1340,2298,1638,630,2677,1992,3085,6,13660,13660,Cethosia biblis,Cethosia biblis,1143,x,,,1,7,7.041411664,9.522227133
BOLD:ADL1630,Lepidoptera,Papilionidae,Papilio,Chilasa agestor,18,200,89,0,0,336,0,0,643,643,Chilasa agestor,Chilasa agestor,8,x,,,1,4,2.079441542,6.466144724
,Lepidoptera,Papilionidae,Chilasa,Chilasa epycides,558,743,929,295,700,744,1014,0,4983,4983,Chilasa epycides,Chilasa epycides,1214,x,x,,2,7,7.101675972,8.513787398
,Lepidoptera,Nymphalidae,Childrena,Childrena childreni,356,565,407,151,586,526,1126,0,5526,3717,Childrena childreni,Childrena childreni,300,x,x,,2,7,5.703782475,8.22067217
BOLD:ACV7130,Lepidoptera,Hesperiidae,Choaspes,Choaspes benjaminii,0,0,0,0,27,0,0,0,27,27,Choaspes benjaminii,Choaspes benjaminii,21,x,,,1,1,3.044522438,3.295836866
BOLD:AAN1184,Lepidoptera,Hesperiidae,Choaspes,Choaspes xanthopogon,0,0,33,0,0,0,0,0,33,33,Choaspes xanthopogon,,,,,x,1,1,,3.496507561
BOLD:AAI9669,Lepidoptera,Nymphalidae,Cyrestis,Cyrestis thyodamas,0,0,0,0,23,0,0,0,23,23,Cyrestis thyodamas,Cyrestis thyodamas,6,x,,,1,1,1.791759469,3.135494216
,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,594,1002,915,204,1068,850,893,0,5526,5526,Danaus genutia,Danaus genutia,1425,x,x,,2,7,7.261927093,8.617219505
BOLD:ACA1665,Lepidoptera,Pieridae,Delias,Delias pasithoe,251,174,254,109,364,147,582,0,1881,1881,Delias pasithoe,Delias pasithoe,355,x,,,1,7,5.872117789,7.539558829
BOLD:AAI9570,Lepidoptera,Pieridae,Delias,Delias sububila,23,39,41,14,44,62,62,0,285,285,Delias sububila,,,,,x,1,7,,5.65248918
BOLD:AAE7537,Lepidoptera,Nymphalidae,Dichorragia,Dichorragia nesimachus,0,64,0,0,0,0,0,0,64,64,Dichorragia nesimachus,Dichorragia nesimachus,32,x,,,1,1,3.465735903,4.158883083
BOLD:ADJ8787,Lepidoptera,Riodinidae,Dodona,Dodona adonira,0,16,0,0,0,0,0,0,16,16,Dodona adonira,Dodona adonira,11,x,,,1,1,2.397895273,2.772588722
BOLD:AAK9513,Lepidoptera,Nymphalidae,Elymnias,Elymnias malelas,0,0,0,0,28,0,0,0,28,28,Elymnias malelas,Elymnias malelas,2,x,,,1,1,0.6931471806,3.33220451
