BIN,order,family,genus,species,Rep1,Rep2,Rep3,Rep5,Rep4,Rep7,Rep8,Rep6
BOLD:AAJ2868,Lepidoptera,Nymphalidae,Acraea,Acraea issoria,0,0,0,0,26,0,0,0
BOLD:AAJ1582,Lepidoptera,Nymphalidae,Argyreus,Argyreus hyperbius,360,443,306,162,725,343,675,0
BOLD:AAJ9557,Lepidoptera,Nymphalidae,Athyma,Athyma asura,392,429,641,114,511,283,681,0
BOLD:AAJ9556,Lepidoptera,Nymphalidae,Athyma,Athyma cama,31,55,30,19,70,57,83,0
BOLD:ADL1909,Lepidoptera,Nymphalidae,Athyma,Athyma orientalis,167,355,166,98,326,318,307,0
BOLD:ACA1475,Lepidoptera,Nymphalidae,Athyma,Athyma selenophora,0,0,0,0,10,0,0,0
BOLD:ADL2274,Lepidoptera,Papilionidae,Atrophaneura,Atrophaneura aidoneus,244,298,534,121,577,188,324,0
BOLD:ADL0800,Lepidoptera,Hesperiidae,Burara,Burara vasutana,0,0,25,0,0,0,0,0
BOLD:ADL2497,Lepidoptera,Papilionidae,Byasa,Byasa crassipes,144,29,187,0,108,158,144,0
BOLD:AAJ8738,Lepidoptera,Papilionidae,Byasa,Byasa polyeuctes,420,831,850,165,1147,468,1281,0
BOLD:ACH3444,Lepidoptera,Nymphalidae,Calinaga,Calinaga sudassana,832,1174,1010,299,1747,828,1431,0
BOLD:AAK1950,Lepidoptera,Nymphalidae,Callerebia,Callerebia polyphemus,0,52,80,0,0,53,85,0
BOLD:ACQ2590,Lepidoptera,Nymphalidae,Cethosia,Cethosia biblis,1340,2298,1638,630,2677,1992,3085,6
BOLD:ADL1630,Lepidoptera,Papilionidae,Papilio,Chilasa agestor,18,200,89,0,0,336,0,0
BOLD:AAK5305,Lepidoptera,Papilionidae,Chilasa,Chilasa epycides,19,0,32,0,20,13,14,0
BOLD:ADL2159,Lepidoptera,Papilionidae,Chilasa,Chilasa epycides,539,743,897,295,680,731,1000,0
BOLD:AAJ8310,Lepidoptera,Nymphalidae,Childrena,Childrena childreni,341,549,394,151,570,509,1097,0
BOLD:ADR6352,Lepidoptera,Nymphalidae,Childrena,Childrena childreni,15,16,13,0,16,17,29,0
BOLD:ACV7130,Lepidoptera,Hesperiidae,Choaspes,Choaspes benjaminii,0,0,0,0,27,0,0,0
BOLD:AAN1184,Lepidoptera,Hesperiidae,Choaspes,Choaspes xanthopogon,0,0,33,0,0,0,0,0
BOLD:AAI9669,Lepidoptera,Nymphalidae,Cyrestis,Cyrestis thyodamas,0,0,0,0,23,0,0,0
BOLD:AAI9595,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,576,947,868,184,1047,803,852,0
BOLD:ADK2143,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,18,55,47,20,21,47,41,0
BOLD:ACA1665,Lepidoptera,Pieridae,Delias,Delias pasithoe,251,174,254,109,364,147,582,0
BOLD:AAI9570,Lepidoptera,Pieridae,Delias,Delias sububila,23,39,41,14,44,62,62,0
BOLD:AAE7537,Lepidoptera,Nymphalidae,Dichorragia,Dichorragia nesimachus,0,64,0,0,0,0,0,0
BOLD:ADJ8787,Lepidoptera,Riodinidae,Dodona,Dodona adonira,0,16,0,0,0,0,0,0
BOLD:AAK9513,Lepidoptera,Nymphalidae,Elymnias,Elymnias malelas,0,0,0,0,28,0,0,0
BOLD:ADL1334,Lepidoptera,Nymphalidae,Enispe,Enispe cycnus,0,0,0,0,0,53,54,0
BOLD:ABZ0345,Lepidoptera,Nymphalidae,Euploea,Euploea eunice,0,0,0,0,33,0,0,0
BOLD:ACA4478,Lepidoptera,Nymphalidae,Euploea,Euploea eunice,0,0,0,0,0,0,104,0
BOLD:AAL5461,Lepidoptera,Nymphalidae,Euploea,Euploea mulciber,1027,1232,936,345,1581,1407,1459,0
BOLD:AAA6082,Lepidoptera,Pieridae,Eurema,Eurema hecabe,0,0,0,0,34,0,0,0
BOLD:ADL1155,Lepidoptera,Nymphalidae,Euthalia,Euthalia iva,0,0,32,0,0,0,0,0
BOLD:ADL2123,Lepidoptera,Nymphalidae,Euthalia,Euthalia lubentina,0,0,51,0,65,0,127,0
BOLD:ADL1054,Lepidoptera,Nymphalidae,Euthalia,Euthalia monastyrskiyi,0,13,0,0,0,0,0,0
BOLD:ADL1194,Lepidoptera,Nymphalidae,Euthalia,Euthalia narayana,0,24,0,0,0,0,0,0
BOLD:AAD7189,Lepidoptera,Papilionidae,Graphium,Graphium agamemnon,0,0,12,0,0,0,0,0
BOLD:ADL0978,Lepidoptera,Papilionidae,Graphium,Graphium agetes,14,23,0,11,151,13,11,0
BOLD:ACD8413,Lepidoptera,Papilionidae,Graphium,Graphium chironides,0,0,0,26,0,30,0,0
