species,Rep1,Rep2,Rep3,Rep5,Rep4,Rep7,Rep8,Rep6,Reads,Reads7,Individuals,BINs,Replicates,Replicates7,log_Individuals,log_Reads
Acraea issoria,0,0,0,0,26,0,0,0,26,26,19,1,1,1,2.944438979,3.258096538
Argyreus hyperbius,360,443,306,162,725,343,675,0,3014,3014,332,1,7,7,5.805134969,8.011023379
Athyma asura,392,429,641,114,511,283,681,0,3051,3051,411,1,7,7,6.018593214,8.023224685
Athyma cama,31,55,30,19,70,57,83,0,345,345,282,1,7,7,5.641907071,5.843544417
Athyma orientalis,167,355,166,98,326,318,307,0,1737,1737,277,1,7,7,5.624017506,7.459914766
Athyma selenophora,0,0,0,0,10,0,0,0,10,10,16,1,1,1,2.772588722,2.302585093
Atrophaneura aidoneus,244,298,534,121,577,188,324,0,2286,2286,77,1,7,7,4.343805422,7.734558844
Burara vasutana,0,0,25,0,0,0,0,0,25,25,13,1,1,1,2.564949357,3.218875825
Byasa crassipes,144,29,187,0,108,158,144,0,770,770,69,1,6,6,4.234106505,6.646390515
Byasa polyeuctes,420,831,850,165,1147,468,1281,0,5162,5162,291,1,7,7,5.673323267,8.54907938
Cethosia biblis,1340,2298,1638,630,2677,1992,3085,6,13666,13660,1143,1,8,7,7.041411664,9.522666275
Chilasa agestor,18,200,89,0,0,336,0,0,643,643,8,1,4,4,2.079441542,6.466144724
Chilasa epycides,558,743,929,295,700,744,1014,0,4983,4983,1214,2,7,7,7.101675972,8.513787398
Childrena childreni,356,565,407,151,586,526,1126,0,3717,3717,300,2,7,7,5.703782475,8.22067217
Choaspes benjaminii,0,0,0,0,27,0,0,0,27,27,21,1,1,1,3.044522438,3.295836866
Cyrestis thyodamas,0,0,0,0,23,0,0,0,23,23,6,1,1,1,1.791759469,3.135494216
Danaus genutia,594,1002,915,204,1068,850,893,0,5526,5526,1425,2,7,7,7.261927093,8.617219505
Delias pasithoe,251,174,254,109,364,147,582,0,1881,1881,355,1,7,7,5.872117789,7.539558829
Dichorragia nesimachus,0,64,0,0,0,0,0,0,64,64,32,1,1,1,3.465735903,4.158883083
Dodona adonira,0,16,0,0,0,0,0,0,16,16,11,1,1,1,2.397895273,2.772588722
Elymnias malelas,0,0,0,0,28,0,0,0,28,28,2,1,1,1,0.6931471806,3.33220451
Enispe cycnus,0,0,0,0,0,53,54,0,107,107,14,1,2,2,2.63905733,4.672828834
Euploea eunice,0,0,0,0,33,0,104,0,137,137,40,2,2,2,3.688879454,4.919980926
Euploea mulciber,1027,1232,936,345,1581,1407,1459,0,7987,7987,3588,1,7,7,8.185350223,8.985570499
Eurema hecabe,0,0,0,0,34,0,0,0,34,34,3,1,1,1,1.098612289,3.526360525
Euthalia iva,0,0,32,0,0,0,0,0,32,32,13,1,1,1,2.564949357,3.465735903
Euthalia lubentina,0,0,51,0,65,0,127,0,243,243,22,1,3,3,3.091042453,5.493061443
Graphium agamemnon,0,0,12,0,0,0,0,0,12,12,15,1,1,1,2.708050201,2.48490665
Graphium agetes,14,23,0,11,151,13,11,0,223,223,43,1,6,6,3.761200116,5.407171771
Graphium chironides,0,0,0,26,0,30,0,0,56,56,60,1,2,2,4.094344562,4.025351691
Graphium cloanthus,46,32,48,0,44,56,168,0,394,394,116,1,6,6,4.753590191,5.976350909
Graphium doson,0,0,26,0,0,0,0,0,26,26,3,1,1,1,1.098612289,3.258096538
Graphium leechi,281,225,193,64,417,157,463,0,1800,1800,454,1,7,7,6.118097198,7.495541944
Graphium sarpedon,307,431,489,110,459,229,641,0,2666,2666,152,2,7,7,5.023880521,7.888334501
Hebomoia glaucippe,33,45,73,0,34,41,49,0,275,275,52,1,6,6,3.951243719,5.616771098
Heliophorus brahma,0,0,0,0,32,0,0,0,32,32,1,1,1,1,0,3.465735903
Hestina assimilis,1940,2337,3004,666,4656,2620,3725,0,18948,18948,637,1,7,7,6.456769656,9.849453664
Hestina nama,239,200,290,114,149,272,112,0,1376,1376,149,1,7,7,5.003946306,7.226936018
Hypolimnas bolina,19,12,46,31,60,124,13,0,305,305,201,1,7,7,5.303304908,5.720311777
Junonia almana,0,0,0,0,23,23,0,0,46,46,56,1,2,2,4.025351691,3.828641396
Junonia atlites,0,114,50,0,71,71,0,0,306,306,111,1,4,4,4.709530201,5.723585102
Junonia orithya,0,0,0,0,19,0,21,0,40,40,59,1,2,2,4.077537444,3.688879454
Kaniska canace,21,25,0,0,0,0,0,0,46,46,24,1,2,2,3.17805383,3.828641396
Lamproptera curius,0,41,0,0,0,34,0,0,75,75,72,1,2,2,4.276666119,4.317488114
Lethe bhairava,0,0,0,0,26,0,0,0,26,26,1,1,1,1,0,3.258096538
Lethe confusa,0,0,7,0,0,0,0,0,7,7,15,1,1,1,2.708050201,1.945910149
Lethe dura,0,0,0,0,21,0,0,0,21,21,1,1,1,1,0,3.044522438
Lethe sinorix,21,0,18,0,0,0,0,0,39,39,13,1,2,2,2.564949357,3.663561646
Lethe verma,24,101,62,55,35,219,162,0,658,658,123,1,7,7,4.812184355,6.489204931
Melanitis leda,27,44,40,26,24,55,68,0,284,284,196,1,7,7,5.278114659,5.648974238
Mycalesis francisca,0,0,0,0,0,16,0,0,16,16,1,1,1,1,0,2.772588722
Neope armandii,0,0,0,0,0,6,0,0,6,6,7,1,1,1,1.945910149,1.791759469
Neope pulaha,0,69,48,0,81,0,0,0,198,198,40,2,3,3,3.688879454,5.288267031
Neorina patria,0,0,0,0,0,0,10,0,10,10,42,1,1,1,3.737669618,2.302585093
Neptis hylas,107,123,121,31,456,29,481,0,1348,1348,70,3,7,7,4.248495242,7.206377291
