Dataset,Category,count,percent
97%,Correct,224,58.7926509186
97%,Incorrect,79,20.7349081365
97%,Multiple,37,9.7112860892
97%,No match,41,10.7611548556
98%,Correct,211,55.3805774278
98%,Incorrect,72,18.8976377953
98%,Multiple,36,9.4488188976
98%,No match,62,16.2729658793
99%,Correct,205,53.8057742782
99%,Incorrect,60,15.7480314961
99%,Multiple,36,9.4488188976
99%,No match,80,20.9973753281
100%,Correct,132,34.6456692913
100%,Incorrect,34,8.9238845144
100%,Multiple,30,7.874015748
100%,No match,185,48.5564304462
