Currentid,Matchproid,Sampleid,Matchp,Matchid,Family,CurrentLat,CurrentLon,CurrentElev,MatchLat,MatchLon,MatchElev,dist_km,meanintra,MatchLatX,MatchLonY,polyarea,polyarea_xy,Matchp_prop
Abisara fylla,LNU358-17,AVM_396,99.52,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,0.9952
Abisara fylla,LNU358-17,AVM_397,99.52,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,0.9952
Abisara fylla,LNU487-17,AVM_361,99.52,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,0.9952
Abisara fylla,LNU487-17,AVM_397,100,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,1
Abisara fylla,LNU488-17,AVM_396,100,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,1
Abisara fylla,LNU488-17,AVM_361,99.52,Abisara fylla,Riodinidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.68,-8548.774189,9322.015335,0,0,0.9952
Acraea issoria,GBGL18049-15,AVM_215,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.0033,119.8,,1799.070912,99.7575,-8016.889428,7661.095663,163.1910525,13403187.24,1
Acraea issoria,GBGL18049-15,AVM_213,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.0033,119.8,,1799.070912,99.7575,-8016.889428,7661.095663,163.1910525,13403187.24,1
Acraea issoria,GBGL18049-15,AVM_214,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.0033,119.8,,1799.070912,99.7575,-8016.889428,7661.095663,163.1910525,13403187.24,1
Acraea issoria,GBGL28912-19,AVM_214,99.03,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.5226,77.8575,,2735.317512,99.7575,7285.63479,10274.65235,163.1910525,13403187.24,0.9903
Acraea issoria,GBGL28912-19,AVM_213,99.03,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.5226,77.8575,,2735.317512,99.7575,7285.63479,10274.65235,163.1910525,13403187.24,0.9903
Acraea issoria,GBGL28912-19,AVM_215,99.03,Acraea issoria,Nymphalidae,22.4191,103.852,1300,30.5226,77.8575,,2735.317512,99.7575,7285.63479,10274.65235,163.1910525,13403187.24,0.9903
Acraea issoria,LNU211-17,AVM_214,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acraea issoria,LNU211-17,AVM_215,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acraea issoria,LNU212-17,AVM_213,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acraea issoria,LNU212-17,AVM_215,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acraea issoria,LNU213-17,AVM_214,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acraea issoria,LNU213-17,AVM_213,100,Acraea issoria,Nymphalidae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.7575,-8548.774189,9322.015335,163.1910525,13403187.24,1
Acytolepis puspa,KHCBT094-10,AVM_336,98.4,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,7.533,99.783,,1703.974183,99.00421053,-10055.17475,10242.6997,0.279165225,3269.907958,0.984
Acytolepis puspa,KHCBT1225-16,AVM_336,99.84,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.00421053,-10055.14779,10242.6528,0.279165225,3269.907958,0.9984
Acytolepis puspa,KHCBT480-10,AVM_336,98.41,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,7.53333,99.7833,365,1703.930602,99.00421053,-10055.14779,10242.6528,0.279165225,3269.907958,0.9841
Acytolepis puspa,KHCGE019-10,AVM_336,98.41,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.00421053,-10055.14779,10242.6528,0.279165225,3269.907958,0.9841
Acytolepis puspa,KHCGE070-10,AVM_336,98.41,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.00421053,-10055.14779,10242.6528,0.279165225,3269.907958,0.9841
Acytolepis puspa,SCBP097-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9889
Acytolepis puspa,SCBP098-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9889
Acytolepis puspa,SCBP099-15,AVM_336,98.57,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9857
Acytolepis puspa,SCBP182-15,AVM_336,98.57,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9857
Acytolepis puspa,SCBP238-15,AVM_336,99.84,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9984
Acytolepis puspa,SCBP257-15,AVM_336,99.83,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.557,114.058,,1050.156276,99.00421053,-8747.024341,8305.640801,0.279165225,3269.907958,0.9983
Acytolepis puspa,SZCBP216-15,AVM_336,99.84,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9984
Acytolepis puspa,SZCBP219-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9889
Acytolepis puspa,SZCBP276-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9889
Acytolepis puspa,SZCBP277-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9889
Acytolepis puspa,SZCBP286-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9889
Acytolepis puspa,SZCBP289-15,AVM_336,99.84,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.00421053,-8744.466377,8310.179336,0.279165225,3269.907958,0.9984
Acytolepis puspa,SZCBP798-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.573,114.036,,1047.86079,99.00421053,-8744.965851,8307.588302,0.279165225,3269.907958,0.9889
Acytolepis puspa,SZCBP893-15,AVM_336,98.89,Acytolepis puspa,Lycaenidae,22.4191,103.852,1300,22.573,114.036,,1047.86079,99.00421053,-8744.965851,8307.588302,0.279165225,3269.907958,0.9889
Ancistroides nigrita,KHCBT088-10,AVM_376,93.71,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.533,99.783,,1703.974183,92.64555556,-10055.17475,10242.6997,24.3589657,387013.875,0.9371
Ancistroides nigrita,KHCBT275-10,AVM_376,92.45,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.53333,99.7833,419,1703.930602,92.64555556,-10055.14779,10242.6528,24.3589657,387013.875,0.9245
Ancistroides nigrita,KHCBT437-10,AVM_376,92.64,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,92.64555556,-10055.14779,10242.6528,24.3589657,387013.875,0.9264
Ancistroides nigrita,KHCBT459-10,AVM_376,92.65,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,92.64555556,-10055.14779,10242.6528,24.3589657,387013.875,0.9265
Ancistroides nigrita,KHCBT488-11,AVM_376,92.38,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,92.64555556,-10055.14779,10242.6528,24.3589657,387013.875,0.9238
Ancistroides nigrita,KHCGE032-10,AVM_376,92.5,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,92.64555556,-10055.14779,10242.6528,24.3589657,387013.875,0.925
Ancistroides nigrita,LNU1585-20,AVM_376,92.54,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,11.224,119.448,,2070.192728,92.64555556,-10087.29762,7873.922475,24.3589657,387013.875,0.9254
Ancistroides nigrita,LNU1586-20,AVM_376,92.46,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,11.224,119.448,,2070.192728,92.64555556,-10087.29762,7873.922475,24.3589657,387013.875,0.9246
Ancistroides nigrita,SETIU014-16,AVM_376,92.48,Ancistroides nigrita,Hesperiidae,22.4191,103.852,1300,5.60695,102.719,,1864.192571,92.64555556,-10385.64446,9967.29588,24.3589657,387013.875,0.9248
Appias albina,ANICT916-11,AVM_94,99.18,Appias albina,Pieridae,22.4191,103.852,1300,-11.156,132.144,,4829.570147,99.48166667,-13064.56923,6227.290029,254.346701,3949488.793,0.9918
Appias albina,ANICT917-11,AVM_94,99.51,Appias albina,Pieridae,22.4191,103.852,1300,-11.156,132.144,,4829.570147,99.48166667,-13064.56923,6227.290029,254.346701,3949488.793,0.9951
Appias albina,ANICT918-11,AVM_94,99.51,Appias albina,Pieridae,22.4191,103.852,1300,-11.156,132.144,,4829.570147,99.48166667,-13064.56923,6227.290029,254.346701,3949488.793,0.9951
Appias albina,KHCBT079-10,AVM_94,99.18,Appias albina,Pieridae,22.4191,103.852,1300,7.533,99.783,,1703.974183,99.48166667,-10055.17475,10242.6997,254.346701,3949488.793,0.9918
Appias albina,LNU1601-20,AVM_94,99.51,Appias albina,Pieridae,22.4191,103.852,1300,11.12,119.394,,2072.832899,99.48166667,-10098.94213,7881.237522,254.346701,3949488.793,0.9951
Appias albina,SZCBP255-15,AVM_94,100,Appias albina,Pieridae,22.4191,103.852,1300,22.574,114.01,,1045.185359,99.48166667,-8744.466377,8310.179336,254.346701,3949488.793,1
Appias galba,LNU092-17,AVM_93,99.84,Appias galba,Pieridae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.84,-8548.774189,9322.015335,0,0,0.9984
Appias galba,LNU093-17,AVM_92,99.84,Appias galba,Pieridae,22.4191,103.852,1300,22.4191,103.852,1300,0,99.84,-8548.774189,9322.015335,0,0,0.9984
Appias lyncida,BOPM045-12,AVM_90,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,3.017,102.167,,2154.303955,99.78636364,-10677.94294,10124.18486,180.1116322,2402090.533,0.9984
Appias lyncida,BOPM045-12,AVM_91,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,3.017,102.167,,2154.303955,99.78636364,-10677.94294,10124.18486,180.1116322,2402090.533,0.9984
Appias lyncida,BOPM046-12,AVM_90,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,3.085,102.114,,2147.302894,99.78636364,-10667.76172,10128.24332,180.1116322,2402090.533,0.9984
Appias lyncida,BOPM046-12,AVM_91,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,3.085,102.114,,2147.302894,99.78636364,-10667.76172,10128.24332,180.1116322,2402090.533,0.9984
Appias lyncida,BOPM047-12,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,3.317,101.75,,2125.578245,99.78636364,-10626.43033,10164.34678,180.1116322,2402090.533,1
Appias lyncida,BOPM047-12,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,3.317,101.75,,2125.578245,99.78636364,-10626.43033,10164.34678,180.1116322,2402090.533,1
Appias lyncida,BOPM048-12,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,5.413,101.104,,1904.743847,99.78636364,-10351.7866,10166.14423,180.1116322,2402090.533,1
Appias lyncida,BOPM048-12,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,5.413,101.104,,1904.743847,99.78636364,-10351.7866,10166.14423,180.1116322,2402090.533,1
Appias lyncida,BOPM049-12,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,2.802,102.07,,2178.899649,99.78636364,-10700.66436,10143.77028,180.1116322,2402090.533,1
Appias lyncida,BOPM049-12,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,2.802,102.07,,2178.899649,99.78636364,-10700.66436,10143.77028,180.1116322,2402090.533,1
Appias lyncida,CBPMY356-15,AVM_91,99.83,Appias lyncida,Pieridae,22.4191,103.852,1300,3.097,101.719,,2150.131675,99.78636364,-10652.00538,10176.0964,180.1116322,2402090.533,0.9983
Appias lyncida,CBPMY356-15,AVM_90,99.83,Appias lyncida,Pieridae,22.4191,103.852,1300,3.097,101.719,,2150.131675,99.78636364,-10652.00538,10176.0964,180.1116322,2402090.533,0.9983
Appias lyncida,GBMNA21844-19,AVM_90,99.33,Appias lyncida,Pieridae,22.4191,103.852,1300,24.3278,91.7836,,1251.386955,99.78636364,-7955.252145,10397.46717,180.1116322,2402090.533,0.9933
Appias lyncida,GBMNA21844-19,AVM_91,99.33,Appias lyncida,Pieridae,22.4191,103.852,1300,24.3278,91.7836,,1251.386955,99.78636364,-7955.252145,10397.46717,180.1116322,2402090.533,0.9933
Appias lyncida,KHCBT1079-16,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
Appias lyncida,KHCBT1079-16,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
Appias lyncida,KHCBT1081-16,AVM_91,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,0.9984
Appias lyncida,KHCBT1081-16,AVM_90,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,0.9984
Appias lyncida,KHCBT1144-16,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
Appias lyncida,KHCBT1144-16,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
Appias lyncida,KHCBT1181-16,AVM_91,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,0.9984
Appias lyncida,KHCBT1181-16,AVM_90,99.84,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,0.9984
Appias lyncida,KHCBT1251-16,AVM_91,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
Appias lyncida,KHCBT1251-16,AVM_90,100,Appias lyncida,Pieridae,22.4191,103.852,1300,7.53333,99.7833,236,1703.930602,99.78636364,-10055.14779,10242.6528,180.1116322,2402090.533,1
