Species,meanintra,AreaGIS_km2
Acraea issoria,1783568.931,99.7575
Acytolepis puspa,3275.984578,99.00421053
Ancistroides nigrita,296848.6601,92.64555556
Appias albina,3115038.071,99.48166667
Appias lyncida,2158637.148,99.78636364
Appias pandione,0,97.33
Argyreus hyperbius,10156997.84,99.44
Ariadne ariadne,475497.2121,98.85428571
Athyma selenophora,1160679.263,99.80166667
Byasa polyeuctes,0,99.29666667
Catochrysops strabo,4086682.376,99.966
Catopsilia pomona,2983253.181,99.81409742
Catopsilia pyranthe,6543067.356,99.84977612
Cepora nadina,0,99.83333333
Cethosia biblis,0,96.45
Cethosia cyane,716082.8196,99.95681818
Cirrochroa tyche,1492097.497,97.909375
Colias fieldii,345994.7475,99.66409091
Cyrestis thyodamas,25.6788933,99.84
Danaus chrysippus,17195221.72,99.84972222
Danaus genutia,5719205.396,99.59085714
Delias hyparete,1053653.84,99.47395349
Delias pasithoe,152497.6431,99.86633333
Dichorragia nesimachus,1683069.887,99.35166667
Discophora sondaica,618920.846,99.34
Elymnias malelas,0,100
Euploea eunice,178076.1489,98.508
Euploea midamus,0,98.415
Euploea mulciber,1469419.091,99.663
Eurema hecabe,6696888.854,98.9443617
Eurema laeta,3598723.338,96.217
Euripus nyctelius,1197221.027,98.48833333
Euthalia aconthea,0,97.03
Graphium agamemnon,3689068.49,98.50444444
Graphium antiphates,155723.2747,97.40571429
Graphium cloanthus,0,98.96
Graphium eurypylus,215075.8357,94.312
Graphium sarpedon,5409957.647,95.70225806
Hebomoia glaucippe,2281706.001,99.54666667
Hestina assimilis,773442.496,100
Hypolimnas bolina,2022168.084,99.96063063
Ideopsis similis,90000.71769,97.925
Jamides alecto,1331381.466,99.94625
Junonia almana,3125683.987,99.94326531
Junonia atlites,1725675.855,99.96166667
Junonia iphita,5164738.492,97.23388889
Junonia orithya,5986753.896,98.85847458
Kaniska canace,9621969.617,99.57666667
Lethe confusa,0,99.71
Lethe rohria,0,99.18
Lethe verma,272348.6494,99.46357143
Lexias pardalis,319991.5751,98.433
Melanitis leda,2001638.48,99.91492308
Melanitis phedima,1034248.089,99.001
Moduza procris,82261.16184,99.872
Neptis hylas,1720188.092,97.89425
Neptis sappho,2476273.022,97.092
Neptis soma,0,99.61666667
Pachliopta aristolochiae,1064834.946,99.71075
Papilio bianor,771640.2175,99.29791667
Papilio clytia,374409.5848,99.7325
Papilio demoleus,7765960.676,99.36675
Papilio helenus,1163985.355,99.87047619
Papilio memnon,23348195.98,99.82894737
Papilio nephelus,1962509.567,98.47636364
Papilio paris,954.3750225,99.39903846
Papilio polytes,3217385.216,99.53827586
Papilio protenor,946.2639196,99.42826923
Papilio xuthus,986175.5279,99.79466667
Parantica aglea,1095374.944,99.62
Parantica melaneus,177308.5463,99.746
Parantica sita,0,96.345
Parnara ganga,141.92143,95.698
Parnara guttata,52974.87004,94.38
Parthenos sylvia,1697734.142,99.5905
Pelopidas agna,2179.420156,92.321
Pieris brassicae,4422614.448,99.70164557
Pieris canidia,2741365.761,99.96292683
Pieris rapae,98495848.05,99.93098039
Polyura athamas,474.0507162,96.83333333
Pontia edusa,1139820.995,100
Prioneris thestylis,0,99.645
Pseudozizeeria maha,987688.0724,99.93173333
Stibochiona nicea,0,98.865
Sumalia daraxa,0,99.325
Symbrenthia lilaea,481691.7385,99.836
Tirumala limniace,5389838.748,99.451
Tirumala septentrionis,324896.0019,99.838
Troides aeacus,784117.6313,99.67857895
Troides helena,287098.8746,99.563
Udaspes folus,1698649.282,99.58909091
Vanessa cardui,47694026.63,100
Vanessa indica,3376337.476,99.97642857
Vindula erota,308949.6071,94.79916667
Ypthima baldus,331581.924,95.19027027
Zemeros flegyas,1068881.081,99.05666667
